Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
304,3769,169,0,1,935.0178833,892.3035889,17.2857151,10.02407742,935.0178833,2940.303467,11.3035717,5.069020748,36.2678566,29.28410912,5.732142925,5.284109116,3.142857075,2.919743061,53.67856979,28.70786476,10.14285755,6.001605034,12,10.55377197
305,3771,171,0,1,984.1472778,93.10077667,11.87596893,9.941605568,984.1472778,2141.10083,7.705426216,5.268613338,11,9.550364494,5.844961166,3.912408829,1.976744175,2.681751728,89.73643494,48.26131439,10.69767475,7.683211803,10.03875923,7.664233685
306,3774,174,0,1,1126.444458,685.7333374,11.75555515,8.534704208,1126.444458,2733.733398,6.599999905,6.830334187,38.7555542,19.83547592,7.266666889,3.809768677,2.577777863,2.47043705,29.35555649,31.2956295,6.444444656,6.056555271,15.19999981,14.08226204
307,3776,176,0,1,1169.146606,647.1599731,12.34666634,8.531295776,1169.146606,2695.159912,10.74666691,6.97671032,14.3866663,9.259097099,1.973333359,2.918486118,1.653333306,2.299854517,47.10666656,16.60989761,7.546666622,4.218340397,7.480000019,4.995633125
308,3789,189,0,1,1300.576904,375.2115479,14.38461494,30.02208138,1300.576904,2423.211426,5.173077106,5.892744541,20.53846169,12.04731846,1.423076868,2.085173607,1.423076868,2.602523565,32.98077011,19.56782341,7.480769157,5.236593246,17.25,12.38170338
309,3810,210,0,1,1395.900024,1022.599976,27.97142792,60.3010025,1395.900024,3070.600098,16.7142849,22.05351257,48.12857056,30.45484924,5.142857075,5.923077106,2.142857075,3.909698963,45.17142868,24.9297657,9.514286041,7.829431534,8.899999619,7.461538315
310,3816,216,0,1,1260.140381,1356.403564,19.87719345,11.50675678,1260.140381,3404.403564,6.333333492,5.043919086,38.7543869,22.26689148,8.684210777,4.533783913,2.45614028,1.834459424,37.54386139,20.6655407,7.807017326,4.793919086,4.473684311,3.290540457
311,3826,226,0,1,1662.386353,115.8181839,12.30681801,9.253792763,1662.386353,2163.818115,14.159091,6.758620739,15.54545498,16.009655,2.25,4.125517368,1.943181872,2.686896563,126.8068161,56.68689728,13.72727299,9.33103466,15.07954502,12.09793091
312,3827,227,0,1,1137.086914,1314.934814,28.66304398,29.00789452,1137.086914,3362.934814,11.05434799,9.457894325,34.77173996,21.95789528,4.61956501,4.331578732,3.869565248,2.799999952,25.46739197,11.13947392,7.858695507,5.005263329,21.20652199,14.21578979
313,3832,232,0,1,1127.539307,756.3707886,12.47191048,12.59281445,1127.539307,2804.37085,7.067415714,7.305389404,11.98876381,10.37125778,1.089887619,1.520958066,2.359550476,2.628742456,29.06741524,24.99401283,8.247191429,7.371257305,13.61797714,11.52095795
314,3838,238,0,1,1487.142822,1225.063477,19.77777863,17.80726624,1487.142822,3273.063477,5.666666508,4.273301601,18.50793648,21.65718842,1.142857194,2.909952641,1.587301612,1.941548228,13.49206352,15.24960518,4.714285851,4.429699898,9.269841194,9.84360218
315,3851,251,0,1,776.71875,1065.5,146.546875,140.9012299,776.71875,3113.5,13.453125,11.97839546,69.703125,41.20370483,7.03125,5.469135761,1.453125,4.157407284,27.65625,17.66666603,8.8125,5.654321194,6.46875,5.253086567
316,3852,252,0,1,1644,538.5,9.112903595,7.633647919,1644,2586.5,8,4.388364792,37.46774292,45.30188751,3.080645084,4.449685574,2.112903118,2.737421274,47.25806427,40.91509247,7.709677219,6.045597553,29.83870888,53.11478043
317,3860,260,0,1,2026.511108,1412.166626,11.07777786,9.867149353,2026.511108,3460.166748,8.199999809,6.239130497,23.48888969,11.71256065,1.622222185,1.78019321,0.800000012,1.246376753,16.72222137,12.85507202,4.655555725,3.565217495,17.8777771,11.47584534
318,3868,268,0,1,1115.175049,801.9249878,19.45000076,10.80539513,1115.175049,2849.925049,11.01249981,8.321772575,13.72500038,8.14258194,2.575000048,2.693641663,1.475000024,2.059730291,22.0625,6.443160057,5.400000095,3.566473961,15.16250038,6.075144291
319,3869,269,0,1,672.3561401,262.1506958,18.90410995,18.90056801,672.3561401,2310.150635,5.808218956,4.818181992,19.23287582,11.815341,4.123287678,2.636363745,2.342465639,2.511363745,23.36986351,12.721591,6.493150711,4.551136494,3.05479455,2.892045498
320,3871,271,0,1,1481.418213,431.7636414,11.80000019,9.218309402,1481.418213,2479.763672,1.636363626,2.292253494,43.20000076,16.64084435,1.981818199,1.183098555,0.363636374,1.045774698,12.909091,11.84507084,2.963636398,3.070422649,21.69090843,17.27816963
321,3872,272,0,1,1180.515625,1390.5625,23,17.32539749,1180.515625,3438.5625,8.359375,4.558200836,31.578125,21.05555534,6.703125,3.703703642,2.328125,2.116402149,21.46875,11.52380943,6.484375,4.156084538,13.28125,11.51322746
322,3875,275,0,1,1192.45459,1290.0625,24.22727203,19.36964989,1192.45459,3338.0625,10.06818199,7.808041573,24.25568199,16.14915657,2.715909004,2.158236027,7.193181992,5.207522869,43.14204407,16.93385124,9.568181992,5.385213852,15.284091,11.50843048
323,3878,278,0,1,1308.155151,940,26.67241287,31.23111153,1308.155151,2988,14.12068939,18.89777756,50.32758713,30.17777824,5.189655304,7.013333321,4.879310131,5.013333321,51.41379166,24.0755558,11.37931061,8.644444466,15.48275852,9.133333206
324,3879,279,0,1,1297.436157,1260.98938,30.3297863,43.47027206,1297.436157,3308.989258,6.659574509,5.556756973,11.89361668,9.225225449,2.042553186,2.917117119,1.234042525,2.08468461,19.6702137,8.236036301,6.127659798,3.807207108,4.840425491,6.949549675
325,3882,282,0,1,1351.636353,941.8485107,19.12121201,23.6428566,1351.636353,2989.848389,14.63636398,19.78231239,30.01515198,22.65306091,4.318181992,6.146258354,3.848484755,3.802721024,26.07575798,15.04081631,8.151515007,6.503401279,2.878787994,3.874149561
326,3887,287,0,1,1067.949341,1222.620239,30.73417664,37.13961029,1067.949341,3270.620361,18.73417664,27.06493568,27.8354435,36.82792282,5.987341881,6.649350643,5.620253086,5.672078133,23.8354435,16.51947975,11.11392403,9.230519295,6.126582146,5.214285851
327,3888,288,0,1,1132.947876,1202.739136,36.72174072,30.36013985,1132.947876,3250.739014,17.3217392,19.95804214,25.20000076,14.22902107,3.617391348,4.699300766,4.808695793,4.321678162,28.36521721,12.8776226,10.64347839,7.108391762,8.817391396,6.038461685
328,3893,293,0,1,1254.011475,911.5402222,18.04597664,21.88333321,1254.011475,2959.540283,9.586206436,12.25555515,11.14942551,9.649999619,1.804597735,2.955555439,2.482758522,2.777777672,10.39080429,7.080555439,6.724137783,4.713889122,3.735632181,3.441666603
329,3894,294,0,1,1487.5,980.6756592,19.41891861,23.89855003,1487.5,3028.675781,7.44594574,5.150724411,52.82432556,18.35072517,2.445945978,2.121739149,3.418918848,2.486956596,36.33783722,12.89855099,9.405405045,4.823188305,14.24324322,6.9710145
330,3899,299,0,1,1205.011597,907.5697632,7.302325726,7.615384579,1205.011597,2955.569824,5.3139534,6.78744936,24.0232563,10.2408905,3.337209225,2.848178148,4.127906799,2.556680202,19.2906971,8.690283775,6.965116501,4.012145519,4.116279125,3.692307711
331,3906,306,0,1,1424.742188,463.703125,9.9375,8.257985115,1424.742188,2511.703125,5.40625,3.512284994,45.3046875,27.22481537,3.8046875,3.804668188,2.9765625,2.560196638,80.28125,55.05528259,11.578125,8.506142616,36.6640625,39.16830444
332,3907,307,0,1,1419.634888,856.3968506,14.55555534,21.89613533,1419.634888,2904.396729,6.777777672,6.289855003,24.8571434,24.24154663,1.93650794,4.405797005,1.825396776,2.932367086,20.09523773,9.917874336,5.809523582,4.227053165,3.333333254,2.814009666
333,3912,312,0,1,1439.401733,529.0982056,14.6875,14.00224686,1439.401733,2577.098145,8.258928299,5.950562,52.99106979,39.069664,8.214285851,6.566292286,3.955357075,3.629213572,64.69642639,45.21797943,9.928571701,8.229213715,28.8303566,26.24494362
334,3918,318,0,1,1251.42395,450.6521606,12.85869598,11.25204563,1251.42395,2498.6521,6.978260994,5.924713612,26.22826004,20.44844437,2.945652246,5.68412447,1.663043499,3.608838081,59.95652008,33.86579514,12.71739101,8.466448784,16.11956596,12.01636696
335,3919,319,0,1,1314.041626,765.020813,14.92916679,12.02000046,1314.041626,2813.020752,9.420833588,8.527691841,20.40416718,11.61384583,1.904166698,2.366153955,2.104166746,2.440000057,77.62083435,45.19230652,10.92916679,7.340000153,21.52499962,13.67076969
336,3922,322,0,1,1036.970337,771.366333,12.31683159,11.32820511,1036.970337,2819.366455,10.32673264,10.01538467,20.64356422,17.6461544,2.673267365,2.753846169,2.198019743,2.451282024,59.93069458,44.32820511,10.74257469,8.748718262,9.980197906,8.184615135
