Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
210,6179,1063,1,0,624.9537354,1283.416138,12.59537601,16.17403793,2672.953857,1283.416138,25.37572289,13.07132626,2.64161849,9.171183586,2.080924749,2.855920076,1.28901732,2.855920076,13.36994267,37.14122772,5.867052078,8.912981033,7.566473961,11.5378027
211,6201,1085,1,0,1491.535156,1910.586914,12.22065735,10.34498787,3539.535156,1910.586914,25.36619759,12.07226086,0.690140843,1.649184108,0.85915494,1.482517481,1.051643133,1.480186462,0.455399066,1.046620011,1.774647832,2.431235313,0.694835663,1.410256386
212,6212,1096,1,0,1379.300049,1928.361572,93.79230499,59.50450516,3427.300049,1928.361572,19.76153755,9.29279232,2.646153927,7.97147131,0.176923081,1.960960984,0.830769241,1.687687635,0.223076925,3.172672749,2.084615469,2.545045137,2.284615278,4.732732773
213,6220,1104,1,0,559.8052368,760.2999878,179.3631592,127.6991119,2607.805176,760.2999878,28.047369,17.96991158,4.3157897,8.548672676,4.794736862,3.21061945,1.263157845,2.706194639,6.105263233,10.81946945,4.521052837,4.446017742,3.315789461,4.162831783
214,6224,1108,1,0,242.0479431,1294.876709,10.7191782,12.22222233,2290.047852,1294.876709,29.69862938,15.24747467,2.513698578,6.875421047,0.239726022,2.779461384,0.767123282,2.075757504,1.212328792,7.456228733,2.55479455,3.656565666,1.746575356,2.865319967
215,6229,1113,1,0,1215.031006,1463.863403,119.4037247,73.55506897,3263.031006,1463.863403,20.88819885,8.39207077,1.428571463,1.876652002,0.428571433,1.469162941,0.950310588,1.339207053,0.062111802,0.740088105,3.198757648,2.296255589,14.06832314,9.283040047
216,6240,1124,1,0,22.5357151,925.8428345,24.48571396,19.16036606,2070.535645,925.8428345,20.17142868,10.58877468,5.87142849,3.877434254,4.014285564,3.145475388,2.571428537,2.509736538,70.41428375,28.18900299,14.02857113,6.658648491,8.100000381,4.964490414
217,6251,1135,1,0,774.625,1084.125,15.08928585,15.00141621,2822.625,1084.125,21.0714283,10.92351246,1.517857194,3.196883917,1.866071463,3.16855526,1.866071463,2.263456106,18.25,21.92209625,6.482142925,6.215297222,7.955357075,6.318696976
218,6262,1146,1,0,248.5702515,1588.256226,12.13223171,12.55167961,2296.570313,1588.256226,50.5785141,13.73126602,0.859504104,2.441860437,0.165289253,2.439276457,1.239669442,1.781653762,0.644628108,2.600775242,2.65289259,2.660206795,2.404958725,2.135658979
219,6270,1154,1,0,969.0891113,1838.435669,101.9504929,105.0222626,3017.089111,1838.435669,19.90098953,16.53246689,5.980197906,12.55102062,0.831683159,3.048237562,2.188118696,2.987013102,0.544554472,8.484230042,4.108911037,4.931354523,4.841584206,8.743969917
220,6274,1158,1,0,946.3051147,1867.966064,89.3644104,100.0736465,2994.305176,1867.966064,20.09321976,25.83914757,6.593220234,9.383721352,1.127118587,4.058139324,2.118643999,3.666666746,1.245762706,4.8430233,4.49152565,5.556201458,4.618644238,5.974806309
221,6277,1161,1,0,1129.736816,1570.689453,15.11578941,11.88025475,3177.736816,1570.689453,32.60526276,12.45987225,2.921052694,2.751592398,0.921052635,1.904458642,1.568421006,1.685350299,0.452631593,1.949044585,3.815789461,3.262420416,2.700000048,2.27898097
222,6302,1186,1,0,467.796875,1507.197876,8.0625,13.1295042,2515.796875,1507.197876,34.19270706,16.33671188,1.5625,3.882882833,1.411458373,2.576576471,0.578125,1.952702761,0.703125,2.884009123,1.640625,2.929054022,1.885416627,2.385135174
223,6320,1204,1,0,998.0706787,1263.191895,14.10101032,12.5,3046.070801,1263.191895,21.60606003,13.65725803,0.772727251,1.223790288,0.393939406,1.479838729,0.883838356,1.147177458,0.181818187,0.78427422,3.095959663,2.60483861,2.191919088,2.048387051
224,6325,1209,1,0,1321.170166,1761.46814,15.17730522,10.5796175,3369.170166,1761.46814,22.80850983,8.289172173,7.070921898,8.796178818,0.198581561,1.878980875,0.929078043,1.684076428,134.4042511,72.42420197,17.48226929,11.87133789,13.46808529,14.09681511
225,6356,1240,1,0,585.2908936,689.8272705,203.0272675,174.914856,2633.291016,689.8272705,35.79090881,27.23539162,2.536363602,4.440734386,5.109090805,3.427378893,1.899999976,2.171953201,0.127272725,0.634390652,3.663636446,3.150250435,4.390909195,3.884808064
226,6364,1248,1,0,1007.453308,1357.579956,11.87333298,11.69401073,3055.453369,1357.579956,24.29999924,10.09375,4.626666546,2.751302004,0.25999999,1.319010377,0.806666672,1.578125,0.180000007,1.38671875,2.720000029,2.631510496,1.886666656,1.725260377
227,6365,1249,1,0,426.2962952,748.2000122,11.34814835,14.14957809,2474.296387,748.2000122,20.00740814,9.857660294,0.92592591,2.178528309,2.748148203,3.254523516,2.733333349,2.207479,3.459259272,9.335343361,4.266666889,4.055488586,4.259259224,3.921592236
228,6379,1263,1,0,332.2018433,802.5321045,21.2752285,19.69150352,2380.201904,802.5321045,21.32110023,10.64052296,0.678899109,3.581699371,4.394495487,3.871895313,1.55045867,2.816993475,3.201834917,6.946405411,4.431192875,4.256209373,3.57798171,3.691503286
